% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1770391807.0018 0.921 0.056 0.0798 -3.1380
1770391807.0072 0.921 0.056 0.0798 -3.1378
1770391807.0127 0.921 0.056 0.0798 -3.1376
1770391807.0171 0.921 0.056 0.0798 -3.1374
1770391807.0226 0.921 0.056 0.0798 -3.1373
1770391807.0270 0.921 0.056 0.0798 -3.1371
1770391807.0327 0.921 0.056 0.0798 -3.1369
1770391807.0373 0.921 0.056 0.0798 -3.1367
1770391807.0419 0.921 0.056 0.0798 -3.1366
1770391807.0475 0.921 0.056 0.0798 -3.1364
1770391807.0520 0.921 0.056 0.0798 -3.1363
1770391807.0567 0.921 0.056 0.0798 -3.1361
1770391807.0621 0.921 0.056 0.0798 -3.1359
1770391807.0668 0.921 0.056 0.0798 -3.1357
1770391807.0726 0.921 0.056 0.0798 -3.1356
1770391807.0770 0.921 0.056 0.0798 -3.1354
1770391807.0827 0.921 0.056 0.0798 -3.1353
1770391807.0870 0.921 0.056 0.0798 -3.1351
1770391807.0917 0.921 0.056 0.0798 -3.1350
1770391807.0973 0.921 0.056 0.0798 -3.1348
1770391807.1026 0.921 0.056 0.0798 -3.1346
1770391807.1071 0.921 0.056 0.0798 -3.1344
1770391807.1125 0.921 0.056 0.0798 -3.1343
1770391807.1171 0.921 0.056 0.0798 -3.1341
1770391807.1225 0.921 0.056 0.0798 -3.1340
1770391807.1269 0.921 0.056 0.0798 -3.1338
1770391807.1323 0.921 0.056 0.0798 -3.1337
1770391807.1377 0.921 0.056 0.0798 -3.1335
1770391807.1422 0.921 0.056 0.0798 -3.1334
1770391807.1476 0.921 0.056 0.0798 -3.1332
1770391807.1520 0.921 0.056 0.0798 -3.1331
1770391807.1574 0.921 0.056 0.0798 -3.1329
1770391807.1617 0.921 0.056 0.0798 -3.1328
1770391807.1673 0.921 0.056 0.0798 -3.1326
1770391807.1727 0.921 0.056 0.0798 -3.1325
1770391807.1781 0.921 0.056 0.0798 -3.1323
1770391807.1825 0.921 0.056 0.0798 -3.1322
1770391807.1870 0.921 0.056 0.0798 -3.1320
1770391807.1925 0.921 0.056 0.0798 -3.1319
1770391807.1970 0.921 0.056 0.0798 -3.1317
1770391807.2024 0.921 0.056 0.0798 -3.1316
1770391807.2068 0.921 0.056 0.0798 -3.1315
1770391807.2123 0.921 0.056 0.0798 -3.1313
1770391807.2178 0.921 0.056 0.0798 -3.1312
1770391807.2221 0.921 0.056 0.0798 -3.1311
1770391807.2276 0.921 0.056 0.0798 -3.1309
1770391807.2319 0.921 0.056 0.0798 -3.1308
1770391807.2374 0.921 0.056 0.0798 -3.1306
1770391807.2418 0.921 0.056 0.0798 -3.1305
1770391807.2472 0.921 0.056 0.0798 -3.1304
1770391807.2527 0.921 0.056 0.0798 -3.1302
1770391807.2570 0.921 0.056 0.0798 -3.1301
1770391807.2625 0.921 0.056 0.0798 -3.1300
1770391807.2669 0.921 0.056 0.0798 -3.1298
1770391807.2724 0.921 0.056 0.0798 -3.1297
1770391807.2778 0.921 0.056 0.0798 -3.1295
1770391807.2822 0.921 0.056 0.0798 -3.1294
1770391807.2876 0.921 0.056 0.0798 -3.1292
1770391807.2920 0.921 0.056 0.0798 -3.1291
1770391807.2976 0.921 0.056 0.0798 -3.1289
1770391807.3018 0.921 0.056 0.0798 -3.1288
1770391807.3073 0.921 0.056 0.0798 -3.1287
1770391807.3127 0.921 0.056 0.0798 -3.1286
1770391807.3172 0.921 0.056 0.0798 -3.1284
1770391807.3226 0.921 0.056 0.0798 -3.1283
1770391807.3269 0.921 0.056 0.0798 -3.1282
1770391807.3324 0.921 0.056 0.0798 -3.1281
1770391807.3378 0.921 0.056 0.0798 -3.1279
1770391807.3421 0.921 0.056 0.0798 -3.1278
1770391807.3477 0.921 0.056 0.0798 -3.1277
1770391807.3520 0.921 0.056 0.0798 -3.1276
1770391807.3575 0.921 0.056 0.0798 -3.1274
1770391807.3618 0.921 0.056 0.0798 -3.1273
1770391807.3674 0.921 0.056 0.0798 -3.1272
1770391807.3728 0.921 0.056 0.0798 -3.1271
1770391807.3772 0.921 0.056 0.0798 -3.1269
1770391807.3819 0.921 0.056 0.0798 -3.1268
1770391807.3874 0.921 0.056 0.0798 -3.1267
1770391807.3919 0.921 0.056 0.0798 -3.1266
1770391807.3973 0.921 0.056 0.0798 -3.1264
1770391807.4026 0.921 0.056 0.0798 -3.1264
1770391807.4071 0.921 0.056 0.0798 -3.1262
1770391807.4125 0.921 0.056 0.0798 -3.1261
1770391807.4170 0.921 0.056 0.0798 -3.1260
1770391807.4223 0.921 0.056 0.0798 -3.1259
1770391807.4278 0.921 0.056 0.0798 -3.1258
1770391807.4321 0.921 0.056 0.0798 -3.1257
1770391807.4375 0.921 0.056 0.0798 -3.1255
1770391807.4420 0.921 0.056 0.0798 -3.1255
1770391807.4474 0.921 0.056 0.0798 -3.1253
1770391807.4519 0.921 0.056 0.0798 -3.1252
1770391807.4573 0.921 0.056 0.0798 -3.1251
1770391807.4626 0.921 0.056 0.0798 -3.1250
1770391807.4671 0.921 0.056 0.0798 -3.1249
1770391807.4725 0.921 0.056 0.0798 -3.1248
1770391807.4769 0.921 0.056 0.0798 -3.1246
1770391807.4824 0.921 0.056 0.0798 -3.1246
1770391807.4879 0.921 0.056 0.0798 -3.1244
1770391807.4922 0.921 0.056 0.0798 -3.1243
1770391807.4976 0.921 0.056 0.0798 -3.1242
1770391807.5020 0.921 0.056 0.0798 -3.1241
1770391807.5076 0.921 0.056 0.0798 -3.1240
1770391807.5121 0.921 0.056 0.0798 -3.1239
1770391807.5176 0.921 0.056 0.0798 -3.1237
1770391807.5220 0.921 0.056 0.0798 -3.1237
1770391807.5275 0.921 0.056 0.0798 -3.1235
1770391807.5329 0.921 0.056 0.0798 -3.1235
1770391807.5373 0.921 0.056 0.0798 -3.1233
1770391807.5427 0.921 0.056 0.0798 -3.1233
1770391807.5475 0.000 0.000 0.0000 -3.1232
1770391807.5529 0.000 0.000 0.0000 -3.1231
1770391807.5570 0.000 0.000 0.0000 -3.1230
1770391807.5626 0.000 0.000 0.0000 -3.1229
1770391807.5671 0.000 0.000 0.0000 -3.1228
1770391807.5728 0.000 0.000 0.0000 -3.1227
1770391807.5774 0.000 0.000 0.0000 -3.1226
1770391807.5828 0.000 0.000 0.0000 -3.1225
1770391807.5874 0.000 0.000 0.0000 -3.1224
1770391807.5930 0.000 0.000 0.0000 -3.1223
1770391807.5975 0.000 0.000 0.0000 -3.1222
1770391807.6029 0.000 0.000 0.0000 -3.1221
1770391807.6073 0.000 0.000 0.0000 -3.1220
1770391807.6127 0.000 0.000 0.0000 -3.1219
1770391807.6173 0.000 0.000 0.0000 -3.1218
1770391807.6227 0.000 0.000 0.0000 -3.1217
1770391807.6282 0.000 0.000 0.0000 -3.1216
1770391807.6326 0.000 0.000 0.0000 -3.1215
1770391807.6381 0.000 0.000 0.0000 -3.1214
1770391807.6425 0.000 0.000 0.0000 -3.1213
1770391807.6481 0.000 0.000 0.0000 -3.1212
1770391807.6523 0.000 0.000 0.0000 -3.1211
1770391807.6578 0.000 0.000 0.0000 -3.1210
1770391807.6632 0.000 0.000 0.0000 -3.1209
1770391807.6679 0.000 0.000 0.0000 -3.1208
1770391807.6733 0.000 0.000 0.0000 -3.1207
1770391807.6787 0.000 0.000 0.0000 -3.1207
1770391807.6831 0.000 0.000 0.0000 -3.1206
1770391807.6886 0.000 0.000 0.0000 -3.1205
1770391807.6930 0.000 0.000 0.0000 -3.1204
1770391807.6984 0.000 0.000 0.0000 -3.1203
1770391807.7027 0.000 0.000 0.0000 -3.1202
1770391807.7082 0.000 0.000 0.0000 -3.1201
1770391807.7136 0.000 0.000 0.0000 -3.1200
1770391807.7181 0.000 0.000 0.0000 -3.1200
1770391807.7235 0.000 0.000 0.0000 -3.1199
1770391807.7280 0.000 0.000 0.0000 -3.1198
1770391807.7334 0.000 0.000 0.0000 -3.1197
1770391807.7377 0.000 0.000 0.0000 -3.1196
1770391807.7433 0.000 0.000 0.0000 -3.1196
1770391807.7487 0.000 0.000 0.0000 -3.1195
1770391807.7531 0.000 0.000 0.0000 -3.1194
1770391807.7585 0.000 0.000 0.0000 -3.1193
1770391807.7629 0.000 0.000 0.0000 -3.1192
1770391807.7685 0.000 0.000 0.0000 -3.1192
1770391807.7728 0.000 0.000 0.0000 -3.1191
1770391807.7784 0.000 0.000 0.0000 -3.1190
1770391807.7837 0.000 0.000 0.0000 -3.1189
1770391807.7882 0.000 0.000 0.0000 -3.1188
1770391807.7936 0.000 0.000 0.0000 -3.1187
1770391807.7979 0.000 0.000 0.0000 -3.1186
1770391807.8035 0.000 0.000 0.0000 -3.1185
1770391807.8079 0.000 0.000 0.0000 -3.1185
1770391807.8133 0.000 0.000 0.0000 -3.1184
1770391807.8178 0.000 0.000 0.0000 -3.1183
1770391807.8232 0.000 0.000 0.0000 -3.1182
1770391807.8277 0.000 0.000 0.0000 -3.1182
1770391807.8335 0.000 0.000 0.0000 -3.1181
1770391807.8381 0.000 0.000 0.0000 -3.1180
1770391807.8437 0.000 0.000 0.0000 -3.1179
1770391807.8482 0.000 0.000 0.0000 -3.1178
1770391807.8535 0.000 0.000 0.0000 -3.1177
1770391807.8582 0.000 0.000 0.0000 -3.1177
1770391807.8636 0.000 0.000 0.0000 -3.1176
1770391807.8681 0.000 0.000 0.0000 -3.1175
1770391807.8738 0.000 0.000 0.0000 -3.1174
1770391807.8782 0.000 0.000 0.0000 -3.1174
1770391807.8837 0.000 0.000 0.0000 -3.1173
1770391807.8882 0.000 -0.000 -0.0000 -3.1173
1770391807.8936 0.001 0.000 0.0000 -3.1170
1770391807.8981 0.001 0.000 0.0012 -3.1163
1770391807.9034 0.001 0.000 0.0012 -3.1155
1770391807.9079 0.002 0.000 0.0023 -3.1148
1770391807.9133 0.002 0.000 0.0023 -3.1135
