% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1770386328.8486 0.000 0.000 0.0000 -3.1034
1770386328.8531 0.000 0.000 0.0000 -3.1034
1770386328.8585 0.000 0.000 0.0000 -3.1034
1770386328.8629 0.000 0.000 0.0000 -3.1034
1770386328.8683 0.000 0.000 0.0000 -3.1034
1770386328.8727 0.000 0.000 0.0000 -3.1034
1770386328.8781 0.000 0.000 0.0000 -3.1034
1770386328.8835 0.000 0.000 0.0000 -3.1034
1770386328.8879 0.000 0.000 0.0000 -3.1034
1770386328.8933 0.000 0.000 0.0000 -3.1034
1770386328.8977 0.000 0.000 0.0000 -3.1034
1770386328.9032 0.000 0.000 0.0000 -3.1034
1770386328.9086 0.000 0.000 0.0000 -3.1034
1770386328.9131 0.000 0.000 0.0000 -3.1034
1770386328.9185 0.000 0.000 0.0000 -3.1034
1770386328.9228 0.000 0.000 0.0000 -3.1034
1770386328.9283 0.000 0.000 0.0000 -3.1034
1770386328.9336 0.000 0.000 0.0000 -3.1034
1770386328.9383 0.000 0.000 0.0000 -3.1034
1770386328.9426 0.000 0.000 0.0000 -3.1034
1770386328.9481 0.000 0.000 0.0000 -3.1034
1770386328.9535 0.000 0.000 0.0000 -3.1034
1770386328.9578 0.000 0.000 0.0000 -3.1034
1770386328.9633 0.000 0.000 0.0000 -3.1034
1770386328.9688 0.000 0.000 0.0000 -3.1034
1770386328.9732 0.000 0.000 0.0000 -3.1034
1770386328.9786 0.000 0.000 0.0000 -3.1034
1770386328.9829 0.000 0.000 0.0000 -3.1034
1770386328.9884 0.000 0.000 0.0000 -3.1034
1770386328.9937 0.000 0.000 0.0000 -3.1034
1770386328.9982 0.000 0.000 0.0000 -3.1034
1770386329.0036 0.000 0.000 0.0000 -3.1034
1770386329.0081 0.000 0.000 0.0000 -3.1034
1770386329.0135 0.000 0.000 0.0000 -3.1033
1770386329.0179 0.000 0.000 0.0000 -3.1034
1770386329.0233 0.000 0.000 0.0000 -3.1033
1770386329.0287 0.000 0.000 0.0000 -3.1034
1770386329.0341 0.000 0.000 0.0000 -3.1033
1770386329.0386 0.000 0.000 0.0000 -3.1033
1770386329.0439 0.000 0.000 0.0000 -3.1033
1770386329.0484 0.000 0.000 0.0000 -3.1033
1770386329.0538 0.000 0.000 0.0000 -3.1033
1770386329.0593 0.000 0.000 0.0000 -3.1033
1770386329.0636 0.000 0.000 0.0000 -3.1033
1770386329.0691 0.000 0.000 0.0000 -3.1033
1770386329.0735 0.000 0.000 0.0000 -3.1033
1770386329.0789 0.000 0.000 0.0000 -3.1033
1770386329.0843 0.000 0.000 0.0000 -3.1033
1770386329.0887 0.000 0.000 0.0000 -3.1033
1770386329.0941 0.000 0.000 0.0000 -3.1033
1770386329.0985 0.000 0.000 0.0000 -3.1033
1770386329.1040 0.000 0.000 0.0000 -3.1033
1770386329.1084 0.000 0.000 0.0000 -3.1033
1770386329.1138 0.000 0.000 0.0000 -3.1033
1770386329.1193 0.000 0.000 0.0000 -3.1033
1770386329.1236 0.000 0.000 0.0000 -3.1033
1770386329.1293 0.000 0.000 0.0000 -3.1033
1770386329.1336 0.000 0.000 0.0000 -3.1033
1770386329.1393 0.000 0.000 0.0000 -3.1033
1770386329.1439 0.000 0.000 0.0000 -3.1033
1770386329.1493 0.000 0.000 0.0000 -3.1033
1770386329.1540 0.000 0.000 0.0000 -3.1033
1770386329.1585 0.000 0.000 0.0000 -3.1033
1770386329.1639 0.000 0.000 0.0000 -3.1033
1770386329.1686 0.000 0.000 0.0000 -3.1033
1770386329.1739 0.000 0.000 0.0000 -3.1033
1770386329.1786 0.000 0.000 0.0000 -3.1033
1770386329.1840 0.000 0.000 0.0000 -3.1033
1770386329.1886 0.000 0.000 0.0000 -3.1033
1770386329.1940 0.000 0.000 0.0000 -3.1033
1770386329.1985 0.000 0.000 0.0000 -3.1033
1770386329.2034 0.000 0.000 0.0000 -3.1033
1770386329.2089 0.000 0.000 0.0000 -3.1033
1770386329.2136 0.000 0.000 0.0000 -3.1033
1770386329.2192 0.000 0.000 0.0000 -3.1033
1770386329.2235 0.000 0.000 0.0000 -3.1033
1770386329.2290 0.000 0.000 0.0000 -3.1033
1770386329.2334 0.000 0.000 0.0000 -3.1033
1770386329.2392 0.000 0.000 0.0000 -3.1033
1770386329.2435 0.000 0.000 0.0000 -3.1033
1770386329.2490 0.000 0.000 0.0000 -3.1033
1770386329.2533 0.001 -0.000 -0.0000 -3.1033
1770386329.2588 0.001 -0.000 -0.0000 -3.1031
1770386329.2643 0.002 -0.000 -0.0000 -3.1021
1770386329.2686 0.003 -0.000 -0.0023 -3.1013
1770386329.2741 0.003 -0.000 -0.0012 -3.1008
1770386329.2784 0.004 -0.000 -0.0023 -3.0998
1770386329.2837 0.004 -0.000 -0.0012 -3.0973
1770386329.2893 0.004 -0.000 -0.0012 -3.0951
1770386329.2936 0.005 -0.000 -0.0023 -3.0919
1770386329.2991 0.005 -0.000 -0.0012 -3.0911
1770386329.3035 0.006 -0.000 -0.0000 -3.0902
1770386329.3090 0.006 -0.000 0.0012 -3.0892
1770386329.3144 0.007 -0.000 0.0012 -3.0871
1770386329.3187 0.008 -0.000 0.0012 -3.0857
1770386329.3241 0.009 -0.000 0.0023 -3.0843
1770386329.3285 0.009 -0.000 0.0023 -3.0833
1770386329.3339 0.010 0.000 0.0023 -3.0816
1770386329.3387 0.011 0.000 0.0023 -3.0800
1770386329.3443 0.012 0.000 0.0023 -3.0775
1770386329.3490 0.013 0.000 0.0035 -3.0761
1770386329.3534 0.014 0.000 0.0046 -3.0743
1770386329.3590 0.015 0.000 0.0058 -3.0735
1770386329.3634 0.016 0.000 0.0058 -3.0722
1770386329.3690 0.017 0.000 0.0069 -3.0715
1770386329.3744 0.019 0.000 0.0069 -3.0700
1770386329.3788 0.019 0.000 0.0069 -3.0691
1770386329.3843 0.021 0.000 0.0081 -3.0677
1770386329.3887 0.022 0.000 0.0093 -3.0665
1770386329.3942 0.023 0.000 0.0104 -3.0652
1770386329.3987 0.024 0.000 0.0104 -3.0646
1770386329.4041 0.026 0.000 0.0104 -3.0642
1770386329.4086 0.027 0.000 0.0104 -3.0638
1770386329.4139 0.029 0.000 0.0104 -3.0632
1770386329.4193 0.030 0.000 0.0104 -3.0627
1770386329.4236 0.031 0.000 0.0104 -3.0618
1770386329.4291 0.032 0.000 0.0104 -3.0617
1770386329.4335 0.034 0.000 0.0116 -3.0613
1770386329.4389 0.035 0.000 0.0116 -3.0610
1770386329.4443 0.037 0.000 0.0104 -3.0608
1770386329.4486 0.038 0.000 0.0104 -3.0604
1770386329.4541 0.040 0.000 0.0093 -3.0603
1770386329.4585 0.041 0.000 0.0093 -3.0604
1770386329.4639 0.042 0.000 0.0104 -3.0602
1770386329.4684 0.044 0.000 0.0093 -3.0602
1770386329.4737 0.045 0.000 0.0081 -3.0602
1770386329.4792 0.046 0.000 0.0081 -3.0602
1770386329.4835 0.048 0.000 0.0069 -3.0603
1770386329.4890 0.049 0.000 0.0058 -3.0604
1770386329.4943 0.051 0.000 0.0058 -3.0607
1770386329.4988 0.052 0.000 0.0058 -3.0608
1770386329.5043 0.054 0.000 0.0058 -3.0610
1770386329.5086 0.055 0.000 0.0035 -3.0609
1770386329.5141 0.057 0.000 0.0035 -3.0609
1770386329.5185 0.058 0.000 0.0035 -3.0609
1770386329.5238 0.059 0.000 0.0023 -3.0612
1770386329.5293 0.060 0.000 0.0023 -3.0615
1770386329.5339 0.062 0.000 0.0012 -3.0623
1770386329.5394 0.063 0.000 0.0012 -3.0629
1770386329.5438 0.065 0.000 0.0012 -3.0633
1770386329.5494 0.066 0.000 0.0012 -3.0636
1770386329.5537 0.068 0.000 -0.0000 -3.0639
1770386329.5591 0.069 0.000 -0.0000 -3.0641
1770386329.5636 0.070 0.000 -0.0012 -3.0649
1770386329.5690 0.071 0.000 -0.0012 -3.0655
1770386329.5734 0.073 0.000 -0.0023 -3.0660
1770386329.5788 0.074 0.000 -0.0035 -3.0662
1770386329.5841 0.076 0.000 -0.0046 -3.0664
1770386329.5886 0.077 0.000 -0.0046 -3.0667
1770386329.5939 0.078 0.000 -0.0069 -3.0672
1770386329.5995 0.080 0.000 -0.0081 -3.0677
1770386329.6039 0.081 0.000 -0.0081 -3.0679
1770386329.6093 0.083 0.000 -0.0093 -3.0681
1770386329.6136 0.084 0.000 -0.0093 -3.0681
1770386329.6190 0.086 0.000 -0.0116 -3.0682
1770386329.6245 0.087 0.000 -0.0116 -3.0684
1770386329.6288 0.088 0.000 -0.0116 -3.0690
1770386329.6344 0.090 0.000 -0.0127 -3.0694
1770386329.6387 0.091 0.000 -0.0127 -3.0703
1770386329.6442 0.092 0.000 -0.0139 -3.0708
1770386329.6485 0.094 0.000 -0.0150 -3.0715
1770386329.6539 0.095 0.000 -0.0150 -3.0719
1770386329.6594 0.096 0.000 -0.0150 -3.0723
1770386329.6638 0.097 0.000 -0.0162 -3.0725
1770386329.6691 0.099 0.000 -0.0162 -3.0730
1770386329.6746 0.100 0.000 -0.0162 -3.0735
1770386329.6789 0.102 0.000 -0.0162 -3.0744
1770386329.6843 0.103 0.000 -0.0173 -3.0749
1770386329.6887 0.104 0.000 -0.0173 -3.0753
1770386329.6941 0.105 0.000 -0.0173 -3.0755
1770386329.6995 0.107 -0.000 -0.0173 -3.0757
1770386329.7040 0.108 -0.000 -0.0173 -3.0759
1770386329.7093 0.109 -0.000 -0.0173 -3.0764
1770386329.7147 0.110 -0.000 -0.0173 -3.0766
1770386329.7192 0.112 -0.000 -0.0185 -3.0769
1770386329.7245 0.113 -0.000 -0.0173 -3.0773
1770386329.7290 0.114 -0.000 -0.0173 -3.0777
1770386329.7344 0.115 -0.000 -0.0185 -3.0779
1770386329.7399 0.117 -0.000 -0.0173 -3.0783
1770386329.7448 0.118 -0.000 -0.0173 -3.0785
1770386329.7492 0.119 -0.000 -0.0162 -3.0785
1770386329.7546 0.120 -0.000 -0.0173 -3.0787
1770386329.7600 0.122 -0.000 -0.0162 -3.0789
1770386329.7645 0.122 -0.000 -0.0173 -3.0789
1770386329.7699 0.124 -0.000 -0.0162 -3.0799
