t_s,dt_s,ax_mps2,ay_mps2,az_mps2,gx_radps,gy_radps,gz_radps,mx,my,mz,encoder_left_radps,encoder_right_radps,vision_px_m,vision_py_m,vision_pz_m
0.0,0.010457075619631648,-0.0698039375130168,0.4544426700515909,9.871853888492,0.003078073374341893,0.03490038035890308,0.13188688004995358,0.9952166261150864,-0.00042352938157114996,0.0002665150200081768,14.8,15.49,0.04404139585848187,0.02373421915482707,0.01774252810951134
0.008440023840639257,0.008440023840639257,-0.005876510000695438,0.5685415679676683,9.987818326940694,0.005124749600398993,0.03378625441476941,0.1314555032495102,1.0115903392833268,0.005494077665606497,-0.005251831841154959,14.825000000000001,15.535,0.004622298048420745,-0.01688840954042145,-0.023451364448584443
0.019565700634348943,0.011125676793709686,0.06270758056860465,0.5126117441399306,9.683230454152904,0.0028361297285879796,0.037454624904497295,0.1306489568393184,0.9960692645968444,0.0058704812324466655,-0.004474102947236189,14.755,15.575000000000001,-0.02152819040415462,0.025061042779124555,0.0012710183099112406
0.030976547708935764,0.011410847074586821,0.016867456297143393,0.4342977527661543,9.911043096425754,0.006727321224655223,0.03642333716067807,0.12879165913181193,1.0063106757278033,-0.002862361160857727,-0.004517151396665791,14.755,15.585,0.035328300164017765,0.03714072733349558,0.02681041532826706
0.03804999492595501,0.0070734472170192455,-0.029484139347446793,0.4208139643915351,9.79999782641396,0.0009450826801656266,0.02205136360857108,0.126398482652082,1.00178291801494,0.0047130925307804945,-0.0033682993170382133,14.855,15.6,0.023620993179819916,-0.025153157604612512,-0.02547367067558368
0.04609672566566153,0.008046730739706524,-0.03421795245263659,0.35827118160514515,9.858871609285782,-0.002564567435068314,0.036173124184796124,0.12523423779808618,1.007420371073901,0.0014424378917955163,-0.010985091088711218,14.805,15.68,0.03057467698399587,-0.020708898397172906,0.02314566826300959
0.056288486270412455,0.010191760604750928,-0.040867189986286565,0.5133013850932139,9.662556192390932,0.010601428827997451,0.029974416266340335,0.13365087019515004,1.0010716644721627,0.003961910187799477,-0.0005611279873871029,14.77,15.700000000000001,0.05710524607533424,-0.016190662904307845,0.032434627490379064
0.06581412238189709,0.009525636111484628,-0.05760474698332916,0.4616443456384592,9.911819082865305,0.00022313594872185776,0.02829718248153119,0.13154728682072178,0.9833280154099754,0.0014625657966038878,-0.0012231070759941161,14.925,15.75,0.07083845493047758,-0.043767741221337766,-0.004376028557064311
0.07578892064564065,0.009974798263743567,0.19176463991642928,0.3001975989101769,9.85728680274862,0.00031360466172440215,0.033225066026606326,0.12571099815041567,1.010037531493274,0.006049309827307033,-0.004850098197383366,14.835,15.540000000000001,0.05878007112578481,-0.01376743151636399,-0.0067713366527185435
0.08450935475428027,0.00872043410863963,0.029956130047112884,0.44707833783804857,9.791245660021756,0.0022766937544020406,0.035617735757790446,0.12863970940772793,0.9990605021647463,-0.012457661378849056,0.004592061382294248,14.945,15.59,0.062548234385714,0.03942983422870898,0.020770963072995356
